	AAPL	Stock Price	Cash	Portfolio Value
2016-01-04	0	103.58618	10358.618	10358.618
2016-01-05	0	100.99038	10358.618	10358.618
2016-01-06	0	99.01403	10358.618	10358.618
2016-01-07	0	94.835186	10358.618	10358.618
2016-01-08	0	95.336649	10358.618	10358.618
2016-01-11	0	96.880363	10358.618	10358.618
2016-01-12	0	98.286422	10358.618	10358.618
2016-01-13	0	95.75945	10358.618	10358.618
2016-01-14	0	97.853786	10358.618	10358.618
2016-01-15	0	95.503801	10358.618	10358.618
2016-01-19	0	95.041677	10358.618	10358.618
2016-01-20	0	95.169497	10358.618	10358.618
2016-01-21	0	94.687703	10358.618	10358.618
2016-01-22	0	99.721977	10358.618	10358.618
2016-01-25	0	97.775131	10358.618	10358.618
2016-01-26	0	98.315919	10358.618	10358.618
2016-01-27	0	91.855917	10358.618	10358.618
2016-01-28	0	92.514698	10358.618	10358.618
2016-01-29	0	95.710285	10358.618	10358.618
2016-02-01	0	94.815524	10358.618	10358.618
2016-02-02	100	92.898175	1068.8005	10358.618
2016-02-03	0	94.736862	10542.4867	10542.4867
2016-02-04	100	95.498081	992.6786	10542.4867
2016-02-05	0	92.947509	10287.4295	10287.4295
2016-02-08	100	93.926221	894.8074	10287.4295
2016-02-09	100	93.906445	894.8074	10285.4519
2016-02-10	0	93.194657	10214.2731	10214.2731
2016-02-11	0	92.631159	10214.2731	10214.2731
2016-02-12	-100	92.917852	19506.0583	10214.2731
2016-02-16	-100	95.537625	19506.0583	9952.2958
2016-02-17	0	97.000746	9805.9837	9805.9837
2016-02-18	0	95.161963	9805.9837	9805.9837
2016-02-19	100	94.944471	311.5366	9805.9837
2016-02-22	100	95.774885	311.5366	9889.0251
2016-02-23	100	93.609872	311.5366	9672.5238
2016-02-24	0	95.003784	9811.915	9811.915
2016-02-25	-100	95.656259	19377.5409	9811.915
2016-02-26	-100	95.80455	19377.5409	9797.0859
2016-02-29	-100	95.587058	19377.5409	9818.8351
2016-03-01	0	99.383251	9439.2158	9439.2158
2016-03-02	0	99.600743	9439.2158	9439.2158
2016-03-03	-100	100.342188	19473.4346	9439.2158
2016-03-04	0	101.834965	9289.9381	9289.9381
2016-03-07	-100	100.70797	19360.7351	9289.9381
2016-03-08	-100	99.877548	19360.7351	9372.9803
2016-03-09	-100	99.966525	19360.7351	9364.0826
2016-03-10	-100	100.01595	19360.7351	9359.1401
2016-03-11	-100	101.09352	19360.7351	9251.3831
2016-03-14	-100	101.350549	19360.7351	9225.6802
2016-03-15	0	103.387056	9022.0295	9022.0295
2016-03-16	0	104.7612	9022.0295	9022.0295
2016-03-17	0	104.593141	9022.0295	9022.0295
2016-03-18	0	104.711767	9022.0295	9022.0295
2016-03-21	100	104.701886	-1448.1591	9022.0295
2016-03-22	0	105.502644	9102.1053	9102.1053
2016-03-23	0	104.91937	9102.1053	9102.1053
2016-03-24	100	104.464619	-1344.3566	9102.1053
2016-03-28	0	103.990098	9054.6532	9054.6532
2016-03-29	100	106.451693	-1590.5161	9054.6532
2016-03-30	100	108.310245	-1590.5161	9240.5084
2016-03-31	100	107.746747	-1590.5161	9184.1586
2016-04-01	100	108.73534	-1590.5161	9283.0179
