	AAPL	Stock Price	Cash	Portfolio Value
2013-01-02	0	72.444952	7244.4952	7244.4952
2013-01-03	0	71.530534	7244.4952	7244.4952
2013-01-04	0	69.538077	7244.4952	7244.4952
2013-01-07	0	69.129031	7244.4952	7244.4952
2013-01-08	0	69.315084	7244.4952	7244.4952
2013-01-09	0	68.231766	7244.4952	7244.4952
2013-01-10	0	69.077567	7244.4952	7244.4952
2013-01-11	0	68.654011	7244.4952	7244.4952
2013-01-14	0	66.206322	7244.4952	7244.4952
2013-01-15	0	64.117541	7244.4952	7244.4952
2013-01-16	0	66.778984	7244.4952	7244.4952
2013-01-17	0	66.329038	7244.4952	7244.4952
2013-01-18	0	65.975408	7244.4952	7244.4952
2013-01-22	0	66.604812	7244.4952	7244.4952
2013-01-23	0	67.824038	7244.4952	7244.4952
2013-01-24	0	59.443838	7244.4952	7244.4952
2013-01-25	0	58.042524	7244.4952	7244.4952
2013-01-28	0	59.355434	7244.4952	7244.4952
2013-01-29	0	60.469096	7244.4952	7244.4952
2013-01-30	0	60.27909	7244.4952	7244.4952
2013-01-31	0	60.102275	7244.4952	7244.4952
2013-02-01	-100	59.855527	13230.0479	7244.4952
2013-02-04	-100	58.364484	13230.0479	7393.5995
2013-02-05	0	60.412362	7188.8117	7188.8117
2013-02-06	100	60.347706	1154.0411	7188.8117
2013-02-07	100	62.142077	1154.0411	7368.2488
2013-02-08	0	63.039262	7457.9673	7457.9673
2013-02-11	0	63.696228	7457.9673	7457.9673
2013-02-12	0	62.099606	7457.9673	7457.9673
2013-02-13	0	61.981484	7457.9673	7457.9673
2013-02-14	0	61.925744	7457.9673	7457.9673
2013-02-15	0	61.072355	7457.9673	7457.9673
2013-02-19	-100	61.049794	13562.9467	7457.9673
2013-02-20	-100	59.571293	13562.9467	7605.8174
2013-02-21	-100	59.201006	13562.9467	7642.8461
2013-02-22	-100	59.831423	13562.9467	7579.8044
2013-02-25	-100	58.768336	13562.9467	7686.1131
2013-02-26	-100	59.58722	13562.9467	7604.2247
2013-02-27	0	59.00325	7662.6217	7662.6217
2013-02-28	0	58.582531	7662.6217	7662.6217
2013-03-01	-100	57.131904	13375.8121	7662.6217
2013-03-04	0	55.74896	7800.9161	7800.9161
2013-03-05	-100	57.220823	13522.9984	7800.9161
2013-03-06	0	56.493519	7873.6465	7873.6465
2013-03-07	0	57.146502	7873.6465	7873.6465
2013-03-08	0	57.297802	7873.6465	7873.6465
2013-03-11	0	58.114028	7873.6465	7873.6465
2013-03-12	100	56.861153	2187.5312	7873.6465
2013-03-13	100	56.850535	2187.5312	7872.5847
2013-03-14	100	57.401323	2187.5312	7927.6635
2013-03-15	100	58.882478	2187.5312	8075.779
2013-03-18	0	60.48308	8235.8392	8235.8392
2013-03-19	-100	60.319829	14267.8221	8235.8392
2013-03-20	-100	59.999976	14267.8221	8267.8245
2013-03-21	-100	60.086244	14267.8221	8259.1977
2013-03-22	-100	61.304615	14267.8221	8137.3606
2013-03-25	-100	61.526257	14267.8221	8115.1964
2013-03-26	-100	61.20242	14267.8221	8147.5801
2013-03-27	-100	59.999976	14267.8221	8267.8245
2013-03-28	-100	58.749758	14267.8221	8392.8463
2013-04-01	-100	56.92486	14267.8221	8575.3361
2013-04-02	-100	57.041652	14267.8221	8563.6569
2013-04-03	-100	57.333636	14267.8221	8534.4585
2013-04-04	-100	56.766921	14267.8221	8591.13
2013-04-05	-100	56.167028	14267.8221	8651.1193
2013-04-08	0	56.566515	8611.1706	8611.1706
2013-04-09	100	56.66871	2944.2996	8611.1706
2013-04-10	100	57.8247	2944.2996	8726.7696
2013-04-11	0	57.6442	8708.7196	8708.7196
2013-04-12	-100	57.042981	14413.0177	8708.7196
2013-04-15	-100	55.722419	14413.0177	8840.7758
2013-04-16	-100	56.570499	14413.0177	8755.9678
2013-04-17	-100	53.459546	14413.0177	9067.0631
