	Trades
2016-01-04	-100
2016-01-05	0
2016-01-06	0
2016-01-07	0
2016-01-08	0
2016-01-11	0
2016-01-12	0
2016-01-13	0
2016-01-14	0
2016-01-15	0
2016-01-19	0
2016-01-20	0
2016-01-21	0
2016-01-22	0
2016-01-25	0
2016-01-26	0
2016-01-27	0
2016-01-28	0
2016-01-29	0
2016-02-01	0
2016-02-02	100
2016-02-03	-100
2016-02-04	100
2016-02-05	-100
2016-02-08	100
2016-02-09	0
2016-02-10	-100
2016-02-11	0
2016-02-12	-100
2016-02-16	0
2016-02-17	100
2016-02-18	0
2016-02-19	100
2016-02-22	0
2016-02-23	0
2016-02-24	-100
2016-02-25	-100
2016-02-26	0
2016-02-29	0
2016-03-01	100
2016-03-02	0
2016-03-03	-100
2016-03-04	100
2016-03-07	-100
2016-03-08	0
2016-03-09	0
2016-03-10	0
2016-03-11	0
2016-03-14	0
2016-03-15	100
2016-03-16	0
2016-03-17	0
2016-03-18	0
2016-03-21	100
2016-03-22	-100
2016-03-23	0
2016-03-24	100
2016-03-28	-100
2016-03-29	100
2016-03-30	0
2016-03-31	0
2016-04-01	0
