	Trades
2013-01-02	-100
2013-01-03	0
2013-01-04	0
2013-01-07	0
2013-01-08	0
2013-01-09	0
2013-01-10	0
2013-01-11	0
2013-01-14	0
2013-01-15	0
2013-01-16	0
2013-01-17	0
2013-01-18	0
2013-01-22	0
2013-01-23	0
2013-01-24	0
2013-01-25	0
2013-01-28	0
2013-01-29	0
2013-01-30	0
2013-01-31	0
2013-02-01	-100
2013-02-04	0
2013-02-05	100
2013-02-06	100
2013-02-07	0
2013-02-08	-100
2013-02-11	0
2013-02-12	0
2013-02-13	0
2013-02-14	0
2013-02-15	0
2013-02-19	-100
2013-02-20	0
2013-02-21	0
2013-02-22	0
2013-02-25	0
2013-02-26	0
2013-02-27	100
2013-02-28	0
2013-03-01	-100
2013-03-04	100
2013-03-05	-100
2013-03-06	100
2013-03-07	0
2013-03-08	0
2013-03-11	0
2013-03-12	100
2013-03-13	0
2013-03-14	0
2013-03-15	0
2013-03-18	-100
2013-03-19	-100
2013-03-20	0
2013-03-21	0
2013-03-22	0
2013-03-25	0
2013-03-26	0
2013-03-27	0
2013-03-28	0
2013-04-01	0
2013-04-02	0
2013-04-03	0
2013-04-04	0
2013-04-05	0
2013-04-08	100
2013-04-09	100
2013-04-10	0
2013-04-11	-100
2013-04-12	-100
2013-04-15	0
2013-04-16	0
2013-04-17	0
2013-04-18	0
2013-04-19	100
2013-04-22	-100
2013-04-23	100
2013-04-24	100
2013-04-25	0
2013-04-26	0
2013-04-29	-100
2013-04-30	-100
2013-05-01	100
2013-05-02	0
2013-05-03	100
2013-05-06	0
2013-05-07	-100
2013-05-08	0
2013-05-09	0
2013-05-10	-100
2013-05-13	0
2013-05-14	0
2013-05-15	100
2013-05-16	0
2013-05-17	0
2013-05-20	0
2013-05-21	0
2013-05-22	0
2013-05-23	0
2013-05-24	100
2013-05-28	-100
2013-05-29	-100
2013-05-30	0
2013-05-31	100
2013-06-03	-100
2013-06-04	0
2013-06-05	0
2013-06-06	0
2013-06-07	0
2013-06-10	100
2013-06-11	-100
2013-06-12	0
2013-06-13	0
2013-06-14	100
2013-06-17	-100
2013-06-18	0
2013-06-19	0
2013-06-20	0
2013-06-21	0
2013-06-24	0
2013-06-25	0
2013-06-26	0
2013-06-27	0
2013-06-28	0
2013-07-01	0
2013-07-02	0
2013-07-03	0
2013-07-05	0
2013-07-08	100
2013-07-09	-100
2013-07-10	100
2013-07-11	-100
2013-07-12	100
2013-07-15	0
2013-07-16	100
2013-07-17	-100
2013-07-18	0
2013-07-19	0
2013-07-22	100
2013-07-23	0
2013-07-24	0
2013-07-25	0
2013-07-26	0
2013-07-29	-100
2013-07-30	0
2013-07-31	100
2013-08-01	-100
2013-08-02	0
2013-08-05	0
2013-08-06	100
2013-08-07	0
2013-08-08	-100
2013-08-09	100
2013-08-12	0
