	Cummulative Return
0	-0.42497129406614764
1	-0.45954212241040182
2	-0.22441435256937958
3	0.23726379168558243
4	1.0592237813892136
5	1.4248881550780803
6	1.3267927349858675
7	1.6539551161549517
8	1.9421258088486253
9	2.2354930264844404
10	2.3980516682515045
11	2.0033295625622021
12	2.6846266527997678
13	2.4187320739752836
14	2.4690380221385171
15	2.8631777408038022
16	2.4306727265137833
17	2.9301153101737167
18	2.8369209769094725
19	2.9161217333679774
20	3.0097480498020062
21	2.9512593782931882
22	2.7962763092175149
23	3.054889345499185
24	3.2013234407277977
25	3.0613929456396054
26	2.9743377978910082
27	3.0379015089967876
28	3.2916656774097941
29	3.2183874039974514
30	3.1651359365936207
31	3.2220711803356545
32	3.3000398840763969
33	3.3378527464549919
34	3.2586971277170553
35	3.3682886973270412
36	3.4387612265931269
37	3.3142598120570224
38	3.5585557431247965
39	3.4716221911500469
40	3.5938266616561503
41	3.6185099411757502
42	3.6073807185350892
43	3.5757246550456694
44	3.6120313255228602
45	3.598602632796279
46	3.6185099411757502
47	3.5783846471456018
48	3.5528310378340802
49	3.6044575611010146
50	3.5956794753622043
51	3.6120313255228602
52	3.5783846471456018
53	3.5499078804000055
54	3.5956794753622043
55	3.6185099411757502
56	3.5956794753622043
57	3.5727383462135514
58	3.6185099411757502
59	3.5956794753622043
60	3.6185099411757502
61	3.555554181332055
62	3.5499078804000055
63	3.5956794753622043
64	3.6185099411757502
65	3.6185099411757502
66	3.5499078804000055
67	3.5956794753622043
68	3.5956794753622043
69	3.6185099411757502
70	3.555554181332055
71	3.5499078804000055
72	3.6185099411757502
73	3.5956794753622043
74	3.5956794753622043
75	3.5499078804000055
76	3.5956794753622043
77	3.5956794753622043
78	3.5956794753622043
79	3.5499078804000055
