	CELG	Stock Price	Cash	Portfolio Value
2016-01-04	100	117.620003	0.0	11762.0003
2016-01-05	100	117.959999	0.0	11795.9999
2016-01-06	100	116.709999	0.0	11670.9999
2016-01-07	100	111.889999	0.0	11188.9999
2016-01-08	100	108.980003	0.0	10898.0003
2016-01-11	100	103.029999	0.0	10302.9999
2016-01-12	100	106.849998	0.0	10684.9998
2016-01-13	100	100.669998	0.0	10066.9998
2016-01-14	100	105.620003	0.0	10562.0003
2016-01-15	100	103.059998	0.0	10305.9998
2016-01-19	100	102.989998	0.0	10298.9998
2016-01-20	100	107.489998	0.0	10748.9998
2016-01-21	100	105.459999	0.0	10545.9999
2016-01-22	100	108.809998	0.0	10880.9998
2016-01-25	100	106.699997	0.0	10669.9997
2016-01-26	100	105.989998	0.0	10598.9998
2016-01-27	100	102.309998	0.0	10230.9998
2016-01-28	100	97.209999	0.0	9720.9999
2016-01-29	100	100.32	0.0	10032.0
2016-02-01	100	100.800003	0.0	10080.0003
2016-02-02	100	96.849998	0.0	9684.9998
2016-02-03	100	99.489998	0.0	9948.9998
2016-02-04	100	101.93	0.0	10193.0
2016-02-05	0	97.889999	9788.9999	9788.9999
2016-02-08	100	99.18	-129.0001	9788.9999
2016-02-09	100	100.5	-129.0001	9920.9999
2016-02-10	0	103.160004	10187.0003	10187.0003
2016-02-11	100	99.589996	228.0007	10187.0003
2016-02-12	0	102.449997	10473.0004	10473.0004
2016-02-16	0	104.489998	10473.0004	10473.0004
2016-02-17	100	105.309998	-57.9994	10473.0004
2016-02-18	100	103.519997	-57.9994	10294.0003
2016-02-19	0	102.610001	10203.0007	10203.0007
2016-02-22	100	104.580002	-254.9995	10203.0007
2016-02-23	0	102.040001	9949.0006	9949.0006
2016-02-24	100	102.080002	-258.9996	9949.0006
2016-02-25	100	102.349998	-258.9996	9976.0002
2016-02-26	100	103.370003	-258.9996	10078.0007
2016-02-29	0	100.830002	9824.0006	9824.0006
2016-03-01	-100	105.0	20324.0006	9824.0006
2016-03-02	-100	104.730003	20324.0006	9851.0003
2016-03-03	-100	102.730003	20324.0006	10051.0003
2016-03-04	-100	102.510002	20324.0006	10073.0004
2016-03-07	0	104.25	9899.0006	9899.0006
2016-03-08	-100	102.620003	20161.0009	9899.0006
2016-03-09	0	101.040001	10057.0008	10057.0008
2016-03-10	100	100.059998	51.001	10057.0008
2016-03-11	100	101.849998	51.001	10236.0008
2016-03-14	100	99.989998	51.001	10050.0008
2016-03-15	0	97.980003	9849.0013	9849.0013
2016-03-16	0	97.529999	9849.0013	9849.0013
2016-03-17	0	96.690002	9849.0013	9849.0013
2016-03-18	100	98.760002	-26.9989	9849.0013
2016-03-21	0	101.139999	10087.001	10087.001
2016-03-22	-100	102.730003	20360.0013	10087.001
2016-03-23	-100	99.919998	20360.0013	10368.0015
2016-03-24	0	100.540001	10306.0012	10306.0012
2016-03-28	0	99.220001	10306.0012	10306.0012
2016-03-29	-100	100.150002	20321.0014	10306.0012
2016-03-30	0	98.800003	10441.0011	10441.0011
2016-03-31	-100	100.089996	20450.0007	10441.0011
2016-04-01	-100	101.190002	20450.0007	10331.0005
