	CELG	Stock Price	Cash	Portfolio Value
2013-01-02	100	40.549999	0.0	4054.9999
2013-01-03	100	40.834999	0.0	4083.4999
2013-01-04	100	41.044998	0.0	4104.4998
2013-01-07	100	42.865002	0.0	4286.5002
2013-01-08	100	45.705002	0.0	4570.5002
2013-01-09	100	46.169998	0.0	4616.9998
2013-01-10	100	47.740002	0.0	4774.0002
2013-01-11	100	48.150002	0.0	4815.0002
2013-01-14	100	48.834999	0.0	4883.4999
2013-01-15	100	49.695	0.0	4969.5
2013-01-16	100	49.43	0.0	4943.0
2013-01-17	100	49.095001	0.0	4909.5001
2013-01-18	100	50.014999	0.0	5001.4999
2013-01-22	100	49.654999	0.0	4965.4999
2013-01-23	100	49.110001	0.0	4911.0001
2013-01-24	100	48.744999	0.0	4874.4999
2013-01-25	100	49.880001	0.0	4988.0001
2013-01-28	100	49.474998	0.0	4947.4998
2013-01-29	100	49.599998	0.0	4959.9998
2013-01-30	100	49.235001	0.0	4923.5001
2013-01-31	100	49.48	0.0	4948.0
2013-02-01	0	50.720001	5072.0001	5072.0001
2013-02-04	100	49.294998	142.5003	5072.0001
2013-02-05	100	49.880001	142.5003	5130.5004
2013-02-06	100	48.945	142.5003	5037.0003
2013-02-07	100	48.919998	142.5003	5034.5001
2013-02-08	100	50.064999	142.5003	5149.0002
2013-02-11	0	49.970001	5139.5004	5139.5004
2013-02-12	-100	49.48	10087.5004	5139.5004
2013-02-13	0	49.535	5134.0004	5134.0004
2013-02-14	-100	49.755001	10109.5005	5134.0004
2013-02-15	0	49.384998	5171.0007	5171.0007
2013-02-19	0	50.23	5171.0007	5171.0007
2013-02-20	0	50.200001	5171.0007	5171.0007
2013-02-21	100	49.715	199.5007	5171.0007
2013-02-22	100	50.825001	199.5007	5282.0008
2013-02-25	100	49.5	199.5007	5149.5007
2013-02-26	100	49.724998	199.5007	5172.0005
2013-02-27	100	50.52	199.5007	5251.5007
2013-02-28	100	51.634998	199.5007	5363.0005
2013-03-01	100	52.810001	199.5007	5480.5008
2013-03-04	100	52.779999	199.5007	5477.5006
2013-03-05	100	54.185001	199.5007	5618.0008
2013-03-06	100	55.014999	199.5007	5701.0006
2013-03-07	100	55.09	199.5007	5708.5007
2013-03-08	100	55.68	199.5007	5767.5007
2013-03-11	0	55.959999	5795.5006	5795.5006
2013-03-12	-100	56.860001	11481.5007	5795.5006
2013-03-13	-100	56.535	11481.5007	5828.0007
2013-03-14	-100	57.139999	11481.5007	5767.5008
2013-03-15	-100	56.200001	11481.5007	5861.5006
2013-03-18	0	55.950001	5886.5006	5886.5006
2013-03-19	-100	55.52	11438.5006	5886.5006
2013-03-20	0	56.16	5822.5006	5822.5006
2013-03-21	100	56.014999	221.0007	5822.5006
2013-03-22	100	56.564999	221.0007	5877.5006
2013-03-25	100	55.895	221.0007	5810.5007
2013-03-26	100	56.235001	221.0007	5844.5008
2013-03-27	100	56.619999	221.0007	5883.0006
2013-03-28	100	57.955002	221.0007	6016.5009
2013-04-01	0	58.52	6073.0007	6073.0007
2013-04-02	0	58.895	6073.0007	6073.0007
2013-04-03	0	57.775002	6073.0007	6073.0007
2013-04-04	100	57.974998	275.5009	6073.0007
2013-04-05	100	58.215	275.5009	6097.0009
2013-04-08	0	58.360001	6111.501	6111.501
2013-04-09	0	58.305	6111.501	6111.501
2013-04-10	0	60.404999	6111.501	6111.501
2013-04-11	0	61.494999	6111.501	6111.501
2013-04-12	-100	61.5	12261.501	6111.501
2013-04-15	-100	60.185001	12261.501	6243.0009
2013-04-16	-100	61.25	12261.501	6136.501
2013-04-17	-100	60.669998	12261.501	6194.5012
2013-04-18	0	59.540001	6307.5009	6307.5009
2013-04-19	0	61.18	6307.5009	6307.5009
2013-04-22	0	63.419998	6307.5009	6307.5009
2013-04-23	-100	63.0	12607.5009	6307.5009
2013-04-24	-100	59.139999	12607.5009	6693.501
2013-04-25	0	58.974998	6710.0011	6710.0011
2013-04-26	-100	60.169998	12727.0009	6710.0011
2013-04-29	-100	59.235001	12727.0009	6803.5008
2013-04-30	0	59.035	6823.5009	6823.5009
2013-05-01	100	58.330002	990.5007	6823.5009
2013-05-02	100	59.630001	990.5007	6953.5008
2013-05-03	100	60.82	990.5007	7072.5007
2013-05-06	100	60.610001	990.5007	7051.5008
2013-05-07	100	60.834999	990.5007	7074.0006
2013-05-08	100	61.369999	990.5007	7127.5006
2013-05-09	0	61.355	7126.0007	7126.0007
2013-05-10	100	63.73	753.0007	7126.0007
2013-05-13	100	64.830002	753.0007	7236.0009
2013-05-14	0	65.084999	7261.5006	7261.5006
2013-05-15	-100	64.815002	13743.0008	7261.5006
2013-05-16	-100	61.740002	13743.0008	7569.0006
2013-05-17	-100	62.455002	13743.0008	7497.5006
2013-05-20	-100	61.560001	13743.0008	7587.0007
2013-05-21	-100	61.75	13743.0008	7568.0008
2013-05-22	-100	61.720001	13743.0008	7571.0007
2013-05-23	-100	61.82	13743.0008	7561.0008
2013-05-24	0	61.290001	7614.0007	7614.0007
2013-05-28	100	62.294998	1384.5009	7614.0007
2013-05-29	0	61.544998	7539.0007	7539.0007
2013-05-30	-100	62.275002	13766.5009	7539.0007
2013-05-31	-100	61.825001	13766.5009	7584.0008
2013-06-03	0	60.445	7722.0009	7722.0009
2013-06-04	0	58.884998	7722.0009	7722.0009
2013-06-05	100	56.099998	2112.0011	7722.0009
2013-06-06	100	57.779999	2112.0011	7890.001
2013-06-07	0	60.205002	8132.5013	8132.5013
2013-06-10	100	58.915001	2241.0012	8132.5013
2013-06-11	0	59.375	8178.5012	8178.5012
2013-06-12	0	59.055	8178.5012	8178.5012
2013-06-13	0	60.130001	8178.5012	8178.5012
2013-06-14	0	59.68	8178.5012	8178.5012
2013-06-17	0	58.849998	8178.5012	8178.5012
2013-06-18	0	60.119999	8178.5012	8178.5012
2013-06-19	-100	58.445	14023.0012	8178.5012
2013-06-20	-100	56.755001	14023.0012	8347.5011
2013-06-21	-100	56.945	14023.0012	8328.5012
2013-06-24	0	56.5	8373.0012	8373.0012
2013-06-25	100	57.275002	2645.501	8373.0012
2013-06-26	100	59.064999	2645.501	8552.0009
2013-06-27	0	59.200001	8565.5011	8565.5011
2013-06-28	0	58.490002	8565.5011	8565.5011
2013-07-01	0	59.455002	8565.5011	8565.5011
2013-07-02	100	60.130001	2552.501	8565.5011
2013-07-03	100	60.465	2552.501	8599.001
2013-07-05	100	61.240002	2552.501	8676.5012
2013-07-08	100	60.970001	2552.501	8649.5011
2013-07-09	0	62.325001	8785.0011	8785.0011
2013-07-10	0	62.540001	8785.0011	8785.0011
2013-07-11	100	67.459999	2039.0012	8785.0011
2013-07-12	0	67.279999	8767.0011	8767.0011
2013-07-15	-100	67.470001	15514.0012	8767.0011
2013-07-16	-100	67.525002	15514.0012	8761.501
2013-07-17	-100	68.305	15514.0012	8683.5012
2013-07-18	0	66.525002	8861.501	8861.501
2013-07-19	-100	67.945	15656.001	8861.501
2013-07-22	-100	69.040001	15656.001	8752.0009
2013-07-23	0	67.540001	8902.0009	8902.0009
2013-07-24	100	67.995003	2102.5006	8902.0009
2013-07-25	100	70.324997	2102.5006	9135.0003
2013-07-26	0	71.970001	9299.5007	9299.5007
2013-07-29	-100	71.330002	16432.5009	9299.5007
2013-07-30	-100	72.684998	16432.5009	9164.0011
2013-07-31	0	73.43	9089.5009	9089.5009
2013-08-01	-100	74.394997	16529.0006	9089.5009
2013-08-02	-100	73.675003	16529.0006	9161.5003
2013-08-05	0	73.415001	9187.5005	9187.5005
2013-08-06	0	70.870003	9187.5005	9187.5005
2013-08-07	-100	71.324997	16320.0002	9187.5005
2013-08-08	-100	71.0	16320.0002	9220.0002
2013-08-09	-100	71.035004	16320.0002	9216.4998
2013-08-12	-100	70.415001	16320.0002	9278.5001
2013-08-13	-100	68.824997	16320.0002	9437.5005
2013-08-14	-100	68.690002	16320.0002	9451.0
2013-08-15	-100	66.754997	16320.0002	9644.5005
2013-08-16	-100	66.245003	16320.0002	9695.4999
2013-08-19	0	66.220001	9698.0001	9698.0001
2013-08-20	0	67.870003	9698.0001	9698.0001
2013-08-21	100	68.785004	2819.4997	9698.0001
2013-08-22	100	68.955002	2819.4997	9714.9999
2013-08-23	100	69.135002	2819.4997	9732.9999
2013-08-26	100	70.580002	2819.4997	9877.4999
2013-08-27	100	68.480003	2819.4997	9667.5
2013-08-28	0	69.550003	9774.5	9774.5
2013-08-29	-100	71.290001	16903.5001	9774.5
2013-08-30	0	69.989998	9904.5003	9904.5003
2013-09-03	100	71.504997	2754.0006	9904.5003
2013-09-04	100	73.035004	2754.0006	10057.501
2013-09-05	100	72.794998	2754.0006	10033.5004
2013-09-06	100	73.485001	2754.0006	10102.5007
2013-09-09	100	74.235001	2754.0006	10177.5007
2013-09-10	100	74.370003	2754.0006	10191.0009
2013-09-11	100	74.779999	2754.0006	10232.0005
2013-09-12	100	74.82	2754.0006	10236.0006
2013-09-13	0	74.739998	10228.0004	10228.0004
2013-09-16	100	74.019997	2826.0007	10228.0004
2013-09-17	100	73.519997	2826.0007	10178.0004
2013-09-18	0	74.334999	10259.5006	10259.5006
2013-09-19	100	74.260002	2833.5004	10259.5006
2013-09-20	0	74.93	10326.5004	10326.5004
2013-09-23	0	73.389999	10326.5004	10326.5004
2013-09-24	-100	73.220001	17648.5005	10326.5004
2013-09-25	0	72.779999	10370.5006	10370.5006
2013-09-26	0	74.945	10370.5006	10370.5006
2013-09-27	0	77.305	10370.5006	10370.5006
2013-09-30	0	77.07	10370.5006	10370.5006
2013-10-01	0	78.599998	10370.5006	10370.5006
2013-10-02	100	77.964996	2574.001	10370.5006
2013-10-03	100	76.309998	2574.001	10205.0008
2013-10-04	0	78.635002	10437.5012	10437.5012
2013-10-07	-100	76.934998	18131.001	10437.5012
2013-10-08	-100	74.264999	18131.001	10704.5011
2013-10-09	0	73.434998	10787.5012	10787.5012
2013-10-10	0	76.275002	10787.5012	10787.5012
2013-10-11	0	76.584999	10787.5012	10787.5012
2013-10-14	100	77.169998	3070.5014	10787.5012
2013-10-15	0	77.625	10833.0014	10833.0014
2013-10-16	100	79.165001	2916.5013	10833.0014
2013-10-17	100	80.0	2916.5013	10916.5013
2013-10-18	0	80.275002	10944.0015	10944.0015
2013-10-21	100	79.614998	2982.5017	10944.0015
2013-10-22	100	80.419998	2982.5017	11024.5015
2013-10-23	0	80.0	10982.5017	10982.5017
2013-10-24	-100	78.980003	18880.502	10982.5017
2013-10-25	-100	77.870003	18880.502	11093.5017
2013-10-28	-100	78.114998	18880.502	11069.0022
2013-10-29	-100	77.654999	18880.502	11115.0021
2013-10-30	-100	75.660004	18880.502	11314.5016
2013-10-31	0	74.245003	11456.0017	11456.0017
2013-11-01	-100	75.654999	19021.5016	11456.0017
2013-11-04	-100	75.360001	19021.5016	11485.5015
2013-11-05	0	75.370003	11484.5013	11484.5013
2013-11-06	0	72.245003	11484.5013	11484.5013
2013-11-07	100	72.495003	4235.001	11484.5013
2013-11-08	0	74.459999	11681.0009	11681.0009
2013-11-11	100	74.239998	4257.0011	11681.0009
2013-11-12	0	74.705002	11727.5013	11727.5013
2013-11-13	100	74.639999	4263.5014	11727.5013
2013-11-14	0	75.0	11763.5014	11763.5014
2013-11-15	100	75.555	4208.0014	11763.5014
2013-11-18	0	76.489998	11857.0012	11857.0012
2013-11-19	0	77.220001	11857.0012	11857.0012
2013-11-20	100	77.764999	4080.5013	11857.0012
2013-11-21	0	79.305	12011.0013	12011.0013
2013-11-22	0	81.665001	12011.0013	12011.0013
2013-11-25	-100	81.980003	20209.0016	12011.0013
2013-11-26	-100	81.714996	20209.0016	12037.502
2013-11-27	-100	80.760002	20209.0016	12133.0014
2013-11-29	-100	80.885002	20209.0016	12120.5014
2013-12-02	-100	81.555	20209.0016	12053.5016
2013-12-03	-100	79.964996	20209.0016	12212.502
2013-12-04	0	80.035004	12205.5012	12205.5012
2013-12-05	100	82.254997	3980.0015	12205.5012
2013-12-06	100	83.214996	3980.0015	12301.5011
2013-12-09	100	85.004997	3980.0015	12480.5012
2013-12-10	0	85.385002	12518.5017	12518.5017
2013-12-11	-100	83.025002	20821.0019	12518.5017
2013-12-12	0	82.760002	12545.0017	12545.0017
2013-12-13	-100	82.449997	20790.0014	12545.0017
2013-12-16	0	81.690002	12621.0012	12621.0012
2013-12-17	0	80.394997	12621.0012	12621.0012
2013-12-18	0	81.239998	12621.0012	12621.0012
2013-12-19	100	82.010002	4420.001	12621.0012
