	GOOG	Stock Price	Cash	Portfolio Value
2016-01-04	0	741.840027	74184.0027	74184.0027
2016-01-05	0	742.580017	74184.0027	74184.0027
2016-01-06	0	743.619995	74184.0027	74184.0027
2016-01-07	0	726.390015	74184.0027	74184.0027
2016-01-08	0	714.469971	74184.0027	74184.0027
2016-01-11	0	716.030029	74184.0027	74184.0027
2016-01-12	0	726.070007	74184.0027	74184.0027
2016-01-13	0	700.559998	74184.0027	74184.0027
2016-01-14	0	714.719971	74184.0027	74184.0027
2016-01-15	0	694.450012	74184.0027	74184.0027
2016-01-19	0	701.789978	74184.0027	74184.0027
2016-01-20	0	698.450012	74184.0027	74184.0027
2016-01-21	0	706.590027	74184.0027	74184.0027
2016-01-22	0	725.25	74184.0027	74184.0027
2016-01-25	0	711.669983	74184.0027	74184.0027
2016-01-26	0	713.039978	74184.0027	74184.0027
2016-01-27	0	699.98999	74184.0027	74184.0027
2016-01-28	0	730.960022	74184.0027	74184.0027
2016-01-29	0	742.950012	74184.0027	74184.0027
2016-02-01	0	752.0	74184.0027	74184.0027
2016-02-02	-100	764.650024	150649.0051	74184.0027
2016-02-03	-100	726.950012	150649.0051	77954.0039
2016-02-04	-100	708.01001	150649.0051	79848.0041
2016-02-05	-100	683.570007	150649.0051	82292.0044
2016-02-08	-100	682.73999	150649.0051	82375.0061
2016-02-09	-100	678.109985	150649.0051	82838.0066
2016-02-10	-100	684.119995	150649.0051	82237.0056
2016-02-11	-100	683.109985	150649.0051	82338.0066
2016-02-12	0	682.400024	82409.0027	82409.0027
2016-02-16	100	691.0	13309.0027	82409.0027
2016-02-17	100	708.400024	13309.0027	84149.0051
2016-02-18	0	697.349976	83044.0003	83044.0003
2016-02-19	0	700.909973	83044.0003	83044.0003
2016-02-22	100	706.460022	12397.9981	83044.0003
2016-02-23	100	695.849976	12397.9981	81982.9957
2016-02-24	100	699.559998	12397.9981	82353.9979
2016-02-25	100	705.75	12397.9981	82972.9981
2016-02-26	100	705.070007	12397.9981	82904.9988
2016-02-29	100	697.77002	12397.9981	82175.0001
2016-03-01	100	718.809998	12397.9981	84278.9979
2016-03-02	100	718.849976	12397.9981	84282.9957
2016-03-03	100	712.419983	12397.9981	83639.9964
2016-03-04	100	710.890015	12397.9981	83486.9996
2016-03-07	100	695.159973	12397.9981	81913.9954
2016-03-08	0	693.969971	81794.9952	81794.9952
2016-03-09	-100	705.23999	152318.9942	81794.9952
2016-03-10	-100	712.820007	152318.9942	81036.9935
2016-03-11	-100	726.820007	152318.9942	79636.9935
2016-03-14	0	730.48999	79269.9952	79269.9952
2016-03-15	0	728.330017	79269.9952	79269.9952
2016-03-16	-100	736.090027	152878.9979	79269.9952
2016-03-17	0	737.780029	79100.995	79100.995
2016-03-18	-100	737.599976	152860.9926	79100.995
2016-03-21	-100	742.090027	152860.9926	78651.9899
2016-03-22	0	740.75	78785.9926	78785.9926
2016-03-23	0	738.059998	78785.9926	78785.9926
2016-03-24	0	735.299988	78785.9926	78785.9926
2016-03-28	-100	733.530029	152138.9955	78785.9926
2016-03-29	-100	744.77002	152138.9955	77661.9935
2016-03-30	0	750.530029	77085.9926	77085.9926
2016-03-31	-100	744.950012	151580.9938	77085.9926
2016-04-01	-100	749.909973	151580.9938	76589.9965
