	GOOG	Stock Price	Cash	Portfolio Value
2013-01-02	0	361.264351	36126.4351	36126.4351
2013-01-03	0	361.474154	36126.4351	36126.4351
2013-01-04	0	368.617014	36126.4351	36126.4351
2013-01-07	0	367.008634	36126.4351	36126.4351
2013-01-08	0	366.284329	36126.4351	36126.4351
2013-01-09	0	368.691926	36126.4351	36126.4351
2013-01-10	0	370.370261	36126.4351	36126.4351
2013-01-11	0	369.626004	36126.4351	36126.4351
2013-01-14	0	361.264351	36126.4351	36126.4351
2013-01-15	0	362.103533	36126.4351	36126.4351
2013-01-16	0	357.238367	36126.4351	36126.4351
2013-01-17	0	355.305306	36126.4351	36126.4351
2013-01-18	0	351.903714	36126.4351	36126.4351
2013-01-22	0	351.084514	36126.4351	36126.4351
2013-01-23	0	370.380268	36126.4351	36126.4351
2013-01-24	0	376.728929	36126.4351	36126.4351
2013-01-25	0	376.459178	36126.4351	36126.4351
2013-01-28	0	374.990647	36126.4351	36126.4351
2013-01-29	0	376.464197	36126.4351	36126.4351
2013-01-30	0	376.539109	36126.4351	36126.4351
2013-01-31	100	377.468168	-1620.3817	36126.4351
2013-02-01	100	387.413261	-1620.3817	37120.9444
2013-02-04	100	379.131508	-1620.3817	36292.7691
2013-02-05	100	382.488177	-1620.3817	36628.436
2013-02-06	100	384.700966	-1620.3817	36849.7149
2013-02-07	100	386.589073	-1620.3817	37038.5256
2013-02-08	100	392.293391	-1620.3817	37608.9574
2013-02-11	100	390.819841	-1620.3817	37461.6024
2013-02-12	100	389.960707	-1620.3817	37375.689
2013-02-13	100	391.039621	-1620.3817	37483.5804
2013-02-14	0	393.517173	37731.3356	37731.3356
2013-02-15	100	396.049623	-1873.6267	37731.3356
2013-02-19	100	403.022676	-1873.6267	38428.6409
2013-02-20	100	395.834832	-1873.6267	37709.8565
2013-02-21	0	397.3683	37863.2033	37863.2033
2013-02-22	-100	399.456234	77808.8267	37863.2033
2013-02-25	-100	394.990692	77808.8267	38309.7575
2013-02-26	0	394.670999	38341.7268	38341.7268
2013-02-27	0	399.491181	38341.7268	38341.7268
2013-02-28	100	400.200491	-1678.3223	38341.7268
2013-03-01	0	402.693007	38590.9784	38590.9784
2013-03-04	100	410.340363	-2443.0579	38590.9784
2013-03-05	100	418.88183	-2443.0579	39445.1251
2013-03-06	100	415.275422	-2443.0579	39084.4843
2013-03-07	100	415.884819	-2443.0579	39145.424
2013-03-08	100	415.345377	-2443.0579	39091.4798
2013-03-11	100	416.993723	-2443.0579	39256.3144
2013-03-12	0	413.392303	38896.1724	38896.1724
2013-03-13	-100	412.243465	80120.5189	38896.1724
2013-03-14	-100	410.360345	80120.5189	39084.4844
2013-03-15	-100	406.743962	80120.5189	39446.1227
2013-03-18	-100	403.492194	80120.5189	39771.2995
2013-03-19	0	405.255448	39594.9741	39594.9741
2013-03-20	-100	406.948746	80289.8487	39594.9741
2013-03-21	-100	405.225458	80289.8487	39767.3029
2013-03-22	0	404.750953	39814.7534	39814.7534
2013-03-25	0	404.416265	39814.7534	39814.7534
2013-03-26	-100	405.804896	80395.243	39814.7534
2013-03-27	0	400.929754	40302.2676	40302.2676
2013-03-28	0	396.698985	40302.2676	40302.2676
2013-04-01	100	400.195503	282.7173	40302.2676
2013-04-02	100	406.114582	282.7173	40894.1755
2013-04-03	0	402.697995	40552.5168	40552.5168
2013-04-04	-100	397.138544	80266.3712	40552.5168
2013-04-05	-100	391.134546	80266.3712	41152.9166
2013-04-08	-100	387.038638	80266.3712	41562.5074
2013-04-09	-100	388.437215	80266.3712	41422.6497
2013-04-10	-100	394.69597	80266.3712	40796.7742
2013-04-11	0	394.800871	40786.2841	40786.2841
2013-04-12	0	394.631034	40786.2841	40786.2841
2013-04-15	0	390.575091	40786.2841	40786.2841
2013-04-16	0	396.289386	40786.2841	40786.2841
2013-04-17	0	390.889796	40786.2841	40786.2841
2013-04-18	100	382.573096	2528.9745	40786.2841
2013-04-19	100	399.536135	2528.9745	42482.588
2013-04-22	100	399.656031	2528.9745	42494.5776
2013-04-23	100	403.547154	2528.9745	42883.6899
2013-04-24	100	406.319367	2528.9745	43160.9112
2013-04-25	100	404.146544	2528.9745	42943.6289
2013-04-26	100	400.310381	2528.9745	42560.0126
2013-04-29	100	409.121569	2528.9745	43441.1314
2013-04-30	100	411.87383	2528.9745	43716.3575
2013-05-01	0	409.805909	43509.5654	43509.5654
2013-05-02	100	414.391317	2070.4337	43509.5654
2013-05-03	0	422.438296	44314.2633	44314.2633
2013-05-06	100	430.345396	1279.7237	44314.2633
2013-05-07	0	428.187537	44098.4774	44098.4774
2013-05-08	0	436.379383	44098.4774	44098.4774
2013-05-09	100	435.305427	567.9347	44098.4774
2013-05-10	0	439.676074	44535.5421	44535.5421
2013-05-13	0	438.327439	44535.5421	44535.5421
2013-05-14	100	443.107656	224.7765	44535.5421
2013-05-15	0	457.488302	45973.6067	45973.6067
2013-05-16	100	451.484304	825.1763	45973.6067
2013-05-17	100	454.136651	825.1763	46238.8414
2013-05-20	100	453.81197	825.1763	46206.3733
2013-05-21	0	453.032735	46128.4498	46128.4498
2013-05-22	0	444.266501	46128.4498	46128.4498
2013-05-23	0	440.954815	46128.4498	46128.4498
2013-05-24	100	436.22451	2505.9988	46128.4498
2013-05-28	100	440.195564	2505.9988	46525.5552
2013-05-29	100	433.722018	2505.9988	45878.2006
2013-05-30	100	434.945799	2505.9988	46000.5787
2013-05-31	0	435.175585	46023.5573	46023.5573
2013-06-03	-100	433.382372	89361.7945	46023.5573
2013-06-04	-100	429.121615	89361.7945	46449.633
2013-06-05	0	429.421325	46419.662	46419.662
2013-06-06	100	431.88884	3230.778	46419.662
2013-06-07	100	439.426336	3230.778	47173.4116
2013-06-10	100	444.666094	3230.778	47697.3874
2013-06-11	0	439.466301	47177.4081	47177.4081
2013-06-12	100	435.555195	3621.8886	47177.4081
2013-06-13	100	438.062675	3621.8886	47428.1561
2013-06-14	100	437.083675	3621.8886	47330.2561
2013-06-17	0	442.683092	47890.1978	47890.1978
2013-06-18	100	449.860899	2904.1079	47890.1978
2013-06-19	100	449.890888	2904.1079	47893.1967
2013-06-20	100	441.928828	2904.1079	47096.9907
2013-06-21	0	440.025726	46906.6805	46906.6805
2013-06-24	-100	434.461287	90352.8092	46906.6805
2013-06-25	0	432.668074	47086.0018	47086.0018
2013-06-26	0	436.389359	47086.0018	47086.0018
2013-06-27	0	438.097653	47086.0018	47086.0018
2013-06-28	0	439.745998	47086.0018	47086.0018
2013-07-01	0	443.497273	47086.0018	47086.0018
2013-07-02	-100	440.715053	91157.5071	47086.0018
2013-07-03	0	442.772999	46880.2072	46880.2072
