	Cummulative Return
0	0.13815742644366424
1	0.26180040665014848
2	0.78031000351872803
3	0.71564971546279477
4	0.75430918175483086
5	1.0978630022645115
6	2.2049911838658018
7	2.0759257948482199
8	2.0101821228411261
9	2.4940493865667901
10	2.0347917555806694
11	2.6324275710226388
12	2.7090400458582753
13	2.8210061667557103
14	2.7674382048285744
15	2.6340364372127096
16	2.8445169697909121
17	2.6645882449663585
18	2.9687330760183404
19	3.216177061987497
20	3.169476782944467
21	2.9213326725392847
22	3.1629988063782122
23	2.8255484914978508
24	3.2092110715900679
25	3.2037309460406718
26	3.3315081979954329
27	3.3928397961414127
28	3.1501455176793778
29	3.3356465969153994
30	3.3011292110579689
31	3.3966760506629656
32	3.3203856197812325
33	3.4857355106150498
34	3.4699523673732191
35	3.363044639297943
36	3.3942514023477512
37	3.5560587958483625
38	3.5342812526774914
39	3.5388419711525883
40	3.5767668894626139
41	3.495456785327816
42	3.559113932611635
43	3.5675318708653876
44	3.5942031324314101
45	3.6383915057259557
46	3.6436257088649198
47	3.5840268418845458
48	3.5840268418845458
49	3.5675318708653876
50	3.6383915057259557
51	3.6764659101390276
52	3.6596805672641644
53	3.6761755382833226
54	3.6761755382833226
55	3.6596805672641644
56	3.6761755382833226
57	3.6761755382833226
58	3.6596805672641644
59	3.6761755382833226
60	3.6761755382833226
61	3.6596805672641644
62	3.6761755382833226
63	3.6761755382833226
64	3.6596805672641644
65	3.6761755382833226
66	3.6761755382833226
67	3.6596805672641644
68	3.6761755382833226
69	3.6761755382833226
70	3.6596805672641644
71	3.6761755382833226
72	3.6761755382833226
73	3.6596805672641644
74	3.6761755382833226
75	3.6761755382833226
76	3.6596805672641644
77	3.6761755382833226
78	3.6784984411595056
79	3.6761755382833226
