	IBM	Stock Price	Cash	Portfolio Value
2013-01-02	100	177.00714	0.0	17700.714
2013-01-03	100	176.033532	0.0	17603.3532
2013-01-04	100	174.879629	0.0	17487.9629
2013-01-07	100	174.113358	0.0	17411.3358
2013-01-08	100	173.869953	0.0	17386.9953
2013-01-09	100	173.374146	0.0	17337.4146
2013-01-10	100	173.878977	0.0	17387.8977
2013-01-11	100	175.294305	0.0	17529.4305
2013-01-14	100	173.644581	0.0	17364.4581
2013-01-15	100	173.536407	0.0	17353.6407
2013-01-16	100	173.617537	0.0	17361.7537
2013-01-17	100	174.573112	0.0	17457.3112
2013-01-18	100	175.312339	0.0	17531.2339
2013-01-22	100	176.763735	0.0	17676.3735
2013-01-23	100	184.552589	0.0	18455.2589
2013-01-24	100	184.28214	0.0	18428.214
2013-01-25	100	184.777961	0.0	18477.7961
2013-01-28	100	184.741894	0.0	18474.1894
2013-01-29	100	183.813362	0.0	18381.3362
2013-01-30	100	183.470806	0.0	18347.0806
2013-01-31	100	183.06514	0.0	18306.514
2013-02-01	100	184.967266	0.0	18496.7266
2013-02-04	100	183.714198	0.0	18371.4198
2013-02-05	100	182.81271	0.0	18281.271
2013-02-06	0	181.979856	18197.9856	18197.9856
2013-02-07	100	180.821095	115.8761	18197.9856
2013-02-08	100	182.577331	115.8761	18373.6092
2013-02-11	100	181.201312	115.8761	18236.0073
2013-02-12	100	181.092669	115.8761	18225.143
2013-02-13	100	181.137936	115.8761	18229.6697
2013-02-14	100	180.739609	115.8761	18189.837
2013-02-15	100	181.943637	115.8761	18310.2398
2013-02-19	0	181.346161	18250.4922	18250.4922
2013-02-20	100	180.431817	207.3105	18250.4922
2013-02-21	100	179.544644	207.3105	18161.7749
2013-02-22	100	182.043218	207.3105	18411.6323
2013-02-25	100	178.802306	207.3105	18087.5411
2013-02-26	100	180.27792	207.3105	18235.1025
2013-02-27	100	183.165773	207.3105	18523.8878
2013-02-28	100	181.80785	207.3105	18388.0955
2013-03-01	0	183.690839	18576.3944	18576.3944
2013-03-04	100	185.754881	0.906299999999	18576.3944
2013-03-05	100	186.967956	0.906299999999	18697.7019
2013-03-06	100	188.642734	0.906299999999	18865.1797
2013-03-07	100	189.584222	0.906299999999	18959.3285
2013-03-08	100	190.453299	0.906299999999	19046.2362
2013-03-11	100	190.181711	0.906299999999	19019.0774
2013-03-12	0	190.607195	19061.6258	19061.6258
2013-03-13	0	191.974166	19061.6258	19061.6258
2013-03-14	0	195.359927	19061.6258	19061.6258
2013-03-15	-100	194.563274	38517.9532	19061.6258
2013-03-18	-100	193.015249	38517.9532	19216.4283
2013-03-19	-100	193.22346	38517.9532	19195.6072
2013-03-20	-100	194.690013	38517.9532	19048.9519
2013-03-21	0	192.15522	19302.4312	19302.4312
2013-03-22	-100	191.992276	38501.6588	19302.4312
2013-03-25	0	190.779201	19423.7387	19423.7387
2013-03-26	0	192.245754	19423.7387	19423.7387
2013-03-27	100	190.914988	332.2399	19423.7387
2013-03-28	0	193.096721	19641.912	19641.912
2013-04-01	0	192.263863	19641.912	19641.912
2013-04-02	-100	194.056318	39047.5438	19641.912
2013-04-03	-100	192.517341	39047.5438	19795.8097
