	Cummulative Return
0	-0.17216148455932534
1	-0.18953700963701248
2	0.45460310810061233
3	0.49894553971099675
4	0.4889552082475308
5	0.61270356664708592
6	1.0151608404045174
7	0.6986062483129214
8	0.94927674668942652
9	1.0648889474176015
10	1.1087156992650131
11	1.0267104479514213
12	1.3335390199514014
13	1.3014272644595004
14	1.2779181336978849
15	1.3594611946162161
16	1.423455709187778
17	1.3657578389210734
18	1.586294637606144
19	1.4489918203299599
20	1.2146025691392994
21	1.4889609933249037
22	1.6197605362133958
23	1.5037120762473184
24	1.4659762425402718
25	1.5147564781850029
26	1.572747460921633
27	1.4175447668382186
28	1.5864412305627895
29	1.6467175109433438
30	1.5757756269040892
31	1.5899305304859435
32	1.610438335990287
33	1.6824972540655687
34	1.5872755245918317
35	1.6937101463816648
36	1.7038655446328295
37	1.5880034556798091
38	1.6327923156094153
39	1.6682321063432783
40	1.6753429663910726
41	1.5944124570342177
42	1.7121120876818852
43	1.593642047433792
44	1.7000742116956391
45	1.6202543863484808
46	1.6932681924582251
47	1.721138299844851
48	1.6600640855504474
49	1.7140017798152076
50	1.705581198588936
51	1.675020041564423
52	1.7039913700656353
53	1.7277578689763575
54	1.7277578689763575
55	1.6998068326509301
56	1.7192839848155259
57	1.7192839848155259
58	1.7295151879184072
59	1.7261653795434451
60	1.7192839848155259
61	1.7210413037575756
62	1.7198977623162528
63	1.7192839848155259
64	1.7295151879184072
65	1.7210413037575756
66	1.7277578689763575
67	1.7192839848155259
68	1.7210413037575756
69	1.7198977623162528
70	1.7192839848155259
71	1.7210413037575756
72	1.7210413037575756
73	1.7192839848155259
74	1.7192839848155259
75	1.7210413037575756
76	1.7192839848155259
77	1.7192839848155259
78	1.7210413037575756
79	1.7210413037575756
