	SPY	Stock Price	Cash	Portfolio Value
2016-01-04	100	198.953887	0.0	19895.3887
2016-01-05	100	199.290389	0.0	19929.0389
2016-01-06	100	196.776502	0.0	19677.6502
2016-01-07	100	192.055525	0.0	19205.5525
2016-01-08	100	189.947413	0.0	18994.7413
2016-01-11	100	190.135462	0.0	19013.5462
2016-01-12	100	191.669534	0.0	19166.9534
2016-01-13	100	186.889176	0.0	18688.9176
2016-01-14	100	189.957304	0.0	18995.7304
2016-01-15	100	185.879655	0.0	18587.9655
2016-01-19	100	186.127086	0.0	18612.7086
2016-01-20	100	183.741853	0.0	18374.1853
2016-01-21	100	184.771172	0.0	18477.1172
2016-01-22	100	188.561808	0.0	18856.1808
2016-01-25	100	185.711404	0.0	18571.1404
2016-01-26	100	188.24509	0.0	18824.509
2016-01-27	100	186.196374	0.0	18619.6374
2016-01-28	100	187.166297	0.0	18716.6297
2016-01-29	100	191.728915	0.0	19172.8915
2016-02-01	100	191.659627	0.0	19165.9627
2016-02-02	100	188.205508	0.0	18820.5508
2016-02-03	100	189.33379	0.0	18933.379
2016-02-04	100	189.63071	0.0	18963.071
2016-02-05	100	186.018216	0.0	18601.8216
2016-02-08	100	183.514221	0.0	18351.4221
2016-02-09	100	183.524113	0.0	18352.4113
2016-02-10	100	183.365769	0.0	18336.5769
2016-02-11	100	180.980535	0.0	18098.0535
2016-02-12	100	184.711791	0.0	18471.1791
2016-02-16	100	187.829409	0.0	18782.9409
2016-02-17	0	190.897552	19089.7552	19089.7552
2016-02-18	0	190.115664	19089.7552	19089.7552
2016-02-19	-100	190.026592	38092.4144	19089.7552
2016-02-22	-100	192.778018	38092.4144	18814.6126
2016-02-23	-100	190.34331	38092.4144	19058.0834
2016-02-24	-100	191.214255	38092.4144	18970.9889
2016-02-25	-100	193.530201	38092.4144	18739.3943
2016-02-26	0	193.084829	18783.9315	18783.9315
2016-02-29	100	191.570556	-373.1241	18783.9315
2016-03-01	100	196.073793	-373.1241	19234.2552
2016-03-02	0	196.954645	19322.3404	19322.3404
2016-03-03	100	197.726627	-450.3223	19322.3404
2016-03-04	100	198.36994	-450.3223	19386.6717
2016-03-07	0	198.528299	19402.5076	19402.5076
2016-03-08	-100	196.360806	39038.5882	19402.5076
2016-03-09	0	197.330744	19305.5138	19305.5138
2016-03-10	100	197.489088	-443.395	19305.5138
2016-03-11	0	200.675994	19624.2044	19624.2044
2016-03-14	100	200.418672	-417.6628	19624.2044
2016-03-15	100	200.092062	-417.6628	19591.5434
2016-03-16	100	201.250034	-417.6628	19707.3406
2016-03-17	100	202.526784	-417.6628	19835.0156
2016-03-18	0	203.322644	19914.6016	19914.6016
2016-03-21	0	203.611137	19914.6016	19914.6016
2016-03-22	-100	203.501706	40264.7722	19914.6016
2016-03-23	0	202.158699	20048.9023	20048.9023
2016-03-24	-100	202.069153	40255.8176	20048.9023
2016-03-28	-100	202.188542	40255.8176	20036.9634
2016-03-29	-100	204.058806	40255.8176	19849.937
2016-03-30	-100	204.954159	40255.8176	19760.4017
2016-03-31	-100	204.456746	40255.8176	19810.143
2016-04-01	-100	205.849497	40255.8176	19670.8679
