	SPY	Stock Price	Cash	Portfolio Value
2013-01-02	100	136.17174	0.0	13617.174
2013-01-03	100	135.86408	0.0	13586.408
2013-01-04	100	136.460751	0.0	13646.0751
2013-01-07	100	136.087837	0.0	13608.7837
2013-01-08	100	135.696272	0.0	13569.6272
2013-01-09	100	136.041219	0.0	13604.1219
2013-01-10	100	137.12269	0.0	13712.269
2013-01-11	100	137.113372	0.0	13711.3372
2013-01-14	100	137.020137	0.0	13702.0137
2013-01-15	100	137.113372	0.0	13711.3372
2013-01-16	100	137.094722	0.0	13709.4722
2013-01-17	100	137.980405	0.0	13798.0405
2013-01-18	100	138.288065	0.0	13828.8065
2013-01-22	100	139.033908	0.0	13903.3908
2013-01-23	100	139.257651	0.0	13925.7651
2013-01-24	100	139.294951	0.0	13929.4951
2013-01-25	100	140.07808	0.0	14007.808
2013-01-28	100	139.910273	0.0	13991.0273
2013-01-29	100	140.460326	0.0	14046.0326
2013-01-30	100	139.910273	0.0	13991.0273
2013-01-31	100	139.565312	0.0	13956.5312
2013-02-01	100	141.001062	0.0	14100.1062
2013-02-04	100	139.41614	0.0	13941.614
2013-02-05	0	140.823923	14082.3923	14082.3923
2013-02-06	-100	140.926476	28175.0399	14082.3923
2013-02-07	0	140.740019	14101.038	14101.038
2013-02-08	0	141.523148	14101.038	14101.038
2013-02-11	-100	141.49518	28250.556	14101.038
2013-02-12	-100	141.728255	28250.556	14077.7305
2013-02-13	-100	141.849444	28250.556	14065.6116
2013-02-14	-100	141.979965	28250.556	14052.5595
2013-02-15	0	141.812158	14069.3402	14069.3402
2013-02-19	0	142.87498	14069.3402	14069.3402
2013-02-20	-100	141.094283	28178.7685	14069.3402
2013-02-21	-100	140.236569	28178.7685	14155.1116
2013-02-22	-100	141.607051	28178.7685	14018.0634
2013-02-25	0	138.912705	14287.498	14287.498
2013-02-26	0	139.863655	14287.498	14287.498
2013-02-27	0	141.625701	14287.498	14287.498
2013-02-28	0	141.346008	14287.498	14287.498
2013-03-01	0	141.812158	14287.498	14287.498
2013-03-04	100	142.567319	30.7661	14287.498
2013-03-05	100	143.844566	30.7661	14415.2227
2013-03-06	100	144.040355	30.7661	14434.8016
2013-03-07	100	144.301398	30.7661	14460.9059
2013-03-08	0	144.916719	14522.438	14522.438
2013-03-11	0	145.466773	14522.438	14522.438
2013-03-12	100	145.140462	8.3918	14522.438
2013-03-13	100	145.345569	8.3918	14542.9487
2013-03-14	0	146.11938	14620.3298	14620.3298
2013-03-15	0	145.926477	14620.3298	14620.3298
2013-03-18	0	145.121132	14620.3298	14620.3298
2013-03-19	100	144.78401	141.9288	14620.3298
2013-03-20	0	145.795375	14721.4663	14721.4663
2013-03-21	100	144.549899	266.4764	14721.4663
2013-03-22	0	145.711098	14837.5862	14837.5862
2013-03-25	100	145.102399	327.3463	14837.5862
2013-03-26	100	146.263598	327.3463	14953.7061
2013-03-27	100	146.263598	327.3463	14953.7061
2013-03-28	100	146.713088	327.3463	14998.6551
2013-04-01	0	146.132496	14940.5959	14940.5959
2013-04-02	0	146.853564	14940.5959	14940.5959
2013-04-03	100	145.364603	404.1356	14940.5959
2013-04-04	0	145.954569	14999.5925	14999.5925
2013-04-05	100	145.299059	469.6866	14999.5925
2013-04-08	0	146.282331	15097.9197	15097.9197
2013-04-09	0	146.788006	15097.9197	15097.9197
2013-04-10	100	148.585981	239.3216	15097.9197
2013-04-11	100	149.072938	239.3216	15146.6154
2013-04-12	0	148.707724	15110.094	15110.094
2013-04-15	0	145.261593	15110.094	15110.094
2013-04-16	-100	147.406064	29850.7004	15110.094
2013-04-17	-100	145.252234	29850.7004	15325.477
2013-04-18	0	144.343879	15416.3125	15416.3125
2013-04-19	100	145.598714	856.4411	15416.3125
2013-04-22	100	146.244865	856.4411	15480.9276
2013-04-23	0	147.752545	15631.6956	15631.6956
2013-04-24	0	147.846195	15631.6956	15631.6956
2013-04-25	-100	148.44552	30476.2476	15631.6956
2013-04-26	0	148.183316	15657.916	15657.916
2013-04-29	-100	149.175947	30575.5107	15657.916
2013-04-30	0	149.531787	15622.332	15622.332
2013-05-01	100	148.220768	800.2552	15622.332
2013-05-02	0	149.597345	15759.9897	15759.9897
2013-05-03	0	151.114384	15759.9897	15759.9897
2013-05-06	100	151.498331	610.1566	15759.9897
2013-05-07	100	152.266224	610.1566	15836.779
2013-05-08	100	152.959185	610.1566	15906.0751
2013-05-09	0	152.528428	15862.9994	15862.9994
2013-05-10	100	153.024743	560.5251	15862.9994
2013-05-13	100	153.146472	560.5251	15875.1723
2013-05-14	100	154.729069	560.5251	16033.432
2013-05-15	0	155.562506	16116.7757	16116.7757
2013-05-16	0	154.832079	16116.7757	16116.7757
2013-05-17	100	156.330399	483.7358	16116.7757
2013-05-20	0	156.321025	16115.8383	16115.8383
2013-05-21	0	156.545778	16115.8383	16115.8383
2013-05-22	-100	155.384579	31654.2962	16115.8383
2013-05-23	0	154.935088	16160.7874	16160.7874
2013-05-24	100	154.803986	680.3888	16160.7874
2013-05-28	0	155.731074	16253.4962	16253.4962
2013-05-29	0	154.71971	16253.4962	16253.4962
2013-05-30	-100	155.290943	31782.5905	16253.4962
2013-05-31	-100	153.062195	31782.5905	16476.371
2013-06-03	-100	153.905006	31782.5905	16392.0899
2013-06-04	0	153.165205	16466.07	16466.07
2013-06-05	0	151.020748	16466.07	16466.07
2013-06-06	100	152.387952	1227.2748	16466.07
2013-06-07	0	154.326404	16659.9152	16659.9152
2013-06-10	0	154.326404	16659.9152	16659.9152
2013-06-11	0	152.734447	16659.9152	16659.9152
2013-06-12	100	151.470239	1512.8913	16659.9152
2013-06-13	100	153.773904	1512.8913	16890.2817
2013-06-14	100	152.80935	1512.8913	16793.8263
2013-06-17	100	153.989282	1512.8913	16911.8195
2013-06-18	0	155.206666	17033.5579	17033.5579
2013-06-19	-100	153.062195	32339.7774	17033.5579
2013-06-20	-100	149.269583	32339.7774	17412.8191
2013-06-21	-100	149.748769	32339.7774	17364.9005
2013-06-24	0	147.856542	17554.1232	17554.1232
2013-06-25	100	149.278068	2626.3164	17554.1232
2013-06-26	0	150.756061	17701.9225	17701.9225
2013-06-27	100	151.640981	2537.8244	17701.9225
2013-06-28	100	151.019653	2537.8244	17639.7897
2013-07-01	0	151.904573	17728.2817	17728.2817
2013-07-02	0	151.763368	17728.2817	17728.2817
2013-07-03	0	151.829259	17728.2817	17728.2817
2013-07-05	0	153.467303	17728.2817	17728.2817
2013-07-08	0	154.342799	17728.2817	17728.2817
2013-07-09	0	155.453661	17728.2817	17728.2817
2013-07-10	100	155.510143	2177.2674	17728.2817
2013-07-11	100	157.628296	2177.2674	17940.097
2013-07-12	100	157.694187	2177.2674	17946.6861
2013-07-15	100	158.296683	2177.2674	18006.9357
2013-07-16	100	157.70361	2177.2674	17947.6284
2013-07-17	0	158.108406	17988.108	17988.108
2013-07-18	0	158.974494	17988.108	17988.108
2013-07-19	100	159.256917	2062.4163	17988.108
2013-07-22	0	159.567581	18019.1744	18019.1744
2013-07-23	0	159.228676	18019.1744	18019.1744
2013-07-24	0	158.645012	18019.1744	18019.1744
2013-07-25	-100	159.030976	33922.272	18019.1744
